neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,days_before_latest_review,reviews_per_month,calculated_host_listings_count,availability_365
13,1.32423,103.85293,2,281,3,21,1061.0,0.30748469974796055,3,180
5,1.29488,103.83973,2,87,1,98,16.0,0.8919980393051105,48,346
10,1.28388,103.84398,2,50,28,2,1197.0,0.03922071315328133,112,333
15,1.29041,103.83482,3,150,365,0,1887.0,0.0,1,365
10,1.28448,103.8436,2,69,1,307,16.0,1.8625285401162623,3,315
12,1.31196,103.85962,2,342,1,23,11.0,0.30010459245033816,20,357
5,1.29462,103.83855,3,200,1,142,19.0,1.1410330045520618,48,309
12,1.29907,103.87601,2,58,7,52,1671.0,0.5709795465857378,1,0
12,1.31193,103.85952,2,253,1,2,781.0,0.03922071315328133,20,356
12,1.31254,103.85963,2,303,1,48,36.0,0.5709795465857378,20,358
12,1.31201,103.85971,2,54,2,29,33.0,0.688134638736401,20,358
12,1.31215,103.85982,2,135,1,50,47.0,0.7178397931503168,20,360
12,1.31125,103.86083,2,54,2,6,199.0,0.12221763272424911,20,363
1,1.33746,103.78052,3,119,2,3,503.0,0.09531017980432493,1,118
17,1.2942,103.84283,3,108,3,31,57.0,0.3852624007906449,2,338
9,1.33792,103.88593,2,60,3,57,27.0,0.6312717768418578,2,350
10,1.283,103.84399,2,89,1,121,14.0,1.085189268335969,3,333
10,1.28409,103.84514,2,67,1,19,16.0,0.25464221837358075,3,0
10,1.28674,103.84073,3,250,90,24,180.0,0.3148107398400336,2,289
12,1.32692,103.86459,2,40,90,0,1887.0,0.0,1,349
2,1.27819,103.83072,2,119,2,1,239.0,0.11332868530700327,2,365
12,1.31138,103.86104,2,36,28,1,423.0,0.06765864847381486,83,331
5,1.29773,103.83919,3,128,2,70,14.0,0.7323678937132266,48,321
13,1.31626,103.84444,2,81,6,43,52.0,0.5007752879124892,1,215
7,1.30699,103.80159,1,69,1,0,1887.0,0.0,1,365
12,1.31254,103.85068,3,200,4,24,612.0,0.3364722366212129,203,33
5,1.29519,103.84185,3,150,14,7,399.0,0.10436001532424286,1,17
4,1.31566,103.8859,3,90,1,52,22.0,0.5988365010887039,67,45
4,1.31531,103.88561,3,93,5,44,41.0,0.5187937934151676,67,73
5,1.29645,103.83972,3,200,1,97,58.0,0.928219302739429,48,315
5,1.29648,103.83877,3,106,1,217,24.0,1.4838746894587547,48,335
7,1.28132,103.7854,2,49,1,8,16.0,0.16551443847757333,32,350
16,1.30021,103.84288,2,69,90,0,1887.0,0.0,2,364
2,1.28376,103.83082,3,139,2,17,66.0,0.2468600779315258,26,338
12,1.31047,103.86096,1,35,1,19,1238.0,0.2700271372130602,3,0
17,1.2986,103.84659,2,110,90,6,86.0,0.09531017980432493,2,215
9,1.33967,103.86901,3,228,60,6,1432.0,0.10436001532424286,1,365
2,1.27811,103.83379,3,254,7,4,1144.0,0.058268908123975824,1,0
12,1.29575,103.86549,3,275,3,0,1887.0,0.0,1,0
5,1.29792,103.83781,3,125,2,93,20.0,0.9162907318741551,48,305
4,1.31601,103.88579,3,92,1,63,28.0,0.688134638736401,67,77
12,1.31239,103.85201,3,300,2,3,1534.0,0.04879016416943204,1,0
12,1.31619,103.85983,2,137,1,31,162.0,0.5128236264286637,11,365
12,1.31472,103.86022,1,44,1,5,919.0,0.0769610411361284,11,365
12,1.31437,103.86017,2,60,1,2,58.0,0.0769610411361284,11,342
4,1.31393,103.88749,3,85,5,62,58.0,0.7561219797213337,67,84
12,1.31086,103.85883,1,37,1,18,238.0,0.2468600779315258,3,0
12,1.30997,103.86052,2,150,1,0,1887.0,0.0,3,0
10,1.28362,103.84552,3,131,2,52,15.0,0.7080357930536961,12,355
10,1.28378,103.8431,3,126,90,1,951.0,0.02955880224154443,1,282
10,1.28216,103.84714,2,200,10,17,1479.0,0.23901690047049992,1,365
4,1.31562,103.88586,3,85,60,41,160.0,0.506817602368452,67,26
5,1.29508,103.84085,3,181,5,2,1886.0,0.02955880224154443,1,0
2,1.28667,103.82935,2,81,1,0,1887.0,0.0,1,0
4,1.31228,103.89521,3,200,30,22,106.0,0.30010459245033816,203,352
